epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate,elapsed_seconds
1,1.7873449422537335,0.17857142857142858,0.16395404242395342,1.7723860685472135,0.23148148148148148,0.16517834818752958,0.0001,54.6692289999919
2,1.7722524674165816,0.21081349206349206,0.17253538229078505,1.7805628588906042,0.23148148148148148,0.1299019584443503,0.0001,53.76806345800287
3,1.7625915166877566,0.24156746031746032,0.20145609474467974,1.7873678450231199,0.23148148148148148,0.15557214600375138,0.0001,53.15271454199683
4,1.7435749416786528,0.2490079365079365,0.21328467356179304,1.7869567606184218,0.19675925925925927,0.1531728584261016,0.0001,53.76537837498472
5,1.7247512316893017,0.27827380952380953,0.2498867738169709,1.777261350993757,0.25,0.19268331222886015,0.0001,52.77702120799222
6,1.6342193682988484,0.3189484126984127,0.29590695794289706,1.5112296811960362,0.3287037037037037,0.2978023778961709,0.0001,52.56611079198774
7,1.5051145027317698,0.35267857142857145,0.33676965036888146,1.3897208560396124,0.3449074074074074,0.3008663907917393,0.0001,53.40772812499199
8,1.371182252963384,0.4176587301587302,0.40581235803421273,1.3891116088187252,0.36574074074074076,0.3342436387376853,0.0001,55.31154875000357
9,1.3438499205642276,0.4146825396825397,0.40911388778502134,1.5369077112387728,0.33101851851851855,0.28332307410397506,0.0001,53.99950574999093
10,1.2361131576555116,0.46378968253968256,0.4586243118663426,1.757255427815296,0.18055555555555555,0.18518737943382124,0.0001,56.84524183400208
11,1.1763810964803847,0.4975198412698413,0.4935044254724183,1.1126238502286099,0.48842592592592593,0.4872175319195893,0.0001,54.20895179102081
12,1.1381771728278152,0.5277777777777778,0.5232567751666165,1.1417811813729781,0.47685185185185186,0.449596341854114,0.0001,47.511558250000235
13,1.0866707783369791,0.5391865079365079,0.5357319506915684,1.0129506753550634,0.5601851851851852,0.5574959554314428,0.0001,43.346474499994656
14,1.04409879049848,0.5466269841269841,0.5426022673784695,0.9864127103377271,0.5185185185185185,0.5199207265704157,0.0001,45.60740058301599
15,0.9741323046267979,0.5753968253968254,0.5751360104060863,1.2153173141457416,0.44907407407407407,0.43708301597349325,0.0001,45.50018379199901
16,0.9359594018508991,0.6011904761904762,0.5983505279742772,1.0749746152648219,0.4652777777777778,0.475509871541619,0.0001,43.839440249983454
17,0.9450983875209377,0.6016865079365079,0.5988062178151656,1.0474135703234762,0.5162037037037037,0.5203086356073389,0.0001,45.60898212500615
18,0.8472434180153031,0.6329365079365079,0.6298950367685353,1.2438425653510623,0.43287037037037035,0.42906996894525634,0.0001,45.54624708299525
19,0.8462083759229808,0.6483134920634921,0.6465894060290416,0.7804363571383335,0.6712962962962963,0.67288569265761,0.0001,43.55552395901759
20,0.8368736968508789,0.6448412698412699,0.6413597495986245,2.0409029862946935,0.20601851851851852,0.20827371130830022,0.0001,43.562253041018266
21,0.7782216896968228,0.6741071428571429,0.6723361758280376,0.8072176411471985,0.6712962962962963,0.6676873389563646,0.0001,45.212362708
22,0.7616048559014287,0.6884920634920635,0.6869819774291042,0.7929262029076064,0.6643518518518519,0.6536956332076791,0.0001,45.08691816701321
23,0.722432639715927,0.6884920634920635,0.686146725536657,1.2421176389411643,0.4351851851851852,0.4258066245046684,0.0001,44.65848216699669
24,0.7299910620564506,0.6899801587301587,0.6885074622464455,0.9969209352577174,0.5601851851851852,0.5418213223635762,0.0001,43.66584904099
