epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate,elapsed_seconds
1,1.7873449422537335,0.17857142857142858,0.16395404242395342,1.7723860685472135,0.23148148148148148,0.16517834818752958,0.0001,43.08771766698919
2,1.7722524674165816,0.21081349206349206,0.17253538229078505,1.7805628588906042,0.23148148148148148,0.1299019584443503,0.0001,42.92777679199935
3,1.7625915166877566,0.24156746031746032,0.20145609474467974,1.7873678450231199,0.23148148148148148,0.15557214600375138,0.0001,42.57273770798929
4,1.7435749416786528,0.2490079365079365,0.21328467356179304,1.7869567606184218,0.19675925925925927,0.1531728584261016,0.0001,41.985553584003355
5,1.7213786738732504,0.2837301587301587,0.25272757430931336,1.770396050479677,0.2361111111111111,0.17834127373601058,5e-05,42.132483583001886
6,1.6576464968541311,0.30009920634920634,0.2684311053016759,1.6385833516165063,0.2708333333333333,0.2026251905172889,5e-05,41.907410665997304
7,1.5724542014419087,0.33581349206349204,0.3112749048700781,1.6737771961424086,0.25925925925925924,0.1948715938402472,5e-05,42.26724566699704
8,1.4413309314894298,0.38095238095238093,0.36415373260775863,1.3215519084974572,0.37037037037037035,0.35459947168047345,5e-05,42.540142791986
9,1.395721217114774,0.4097222222222222,0.4005902654914028,1.4499405567292813,0.36574074074074076,0.3316377223518188,5e-05,44.85106654200354
10,1.3124693530419516,0.41964285714285715,0.41218255060273906,1.4343967487414677,0.2777777777777778,0.29653756050195307,5e-05,43.745726666995324
11,1.263573826423713,0.46279761904761907,0.45819585146539304,1.310466937996723,0.3587962962962963,0.37586656461725415,5e-05,45.02244558301754
12,1.2351969651996144,0.48412698412698413,0.4783711934568091,1.0750022191140387,0.5324074074074074,0.5221037539122574,5e-05,44.91720870800782
13,1.2125510529629768,0.4836309523809524,0.4774520548746515,1.0620540173517332,0.5277777777777778,0.5213351305471048,5e-05,42.50286204199074
14,1.1705775488581922,0.4915674603174603,0.48690731409710414,1.1967520528921374,0.4398148148148148,0.44456536498961047,5e-05,42.07640145899495
15,1.082854077545187,0.5431547619047619,0.5410849069525628,1.4568434451465253,0.2824074074074074,0.29506842897009067,5e-05,42.57496270799311
16,1.0559927061909722,0.5357142857142857,0.5319850558372907,1.0692727154603712,0.4791666666666667,0.48417434734234965,5e-05,42.15681629197206
17,1.007503721626505,0.5734126984126984,0.5708022761409955,1.0029377112234081,0.5509259259259259,0.5392558306332904,2.5e-05,42.52151862499886
18,0.92092625578008,0.6160714285714286,0.6144256341051156,0.9128364984084059,0.6018518518518519,0.5942143442699194,2.5e-05,42.73770216698176
19,0.9197626272364269,0.6086309523809523,0.606581880738508,0.968851740575499,0.5671296296296297,0.5511978131037477,2.5e-05,42.19218791599269
20,0.8716376961046268,0.6339285714285714,0.6323247760113855,0.9345321092340682,0.5787037037037037,0.5765496441836967,2.5e-05,42.41475037499913
21,0.8821226680089557,0.6235119047619048,0.6227773228561937,0.8381066587236192,0.6226851851851852,0.6163974668072605,2.5e-05,42.25428887497401
22,0.8457984620971339,0.6527777777777778,0.6515071007570598,0.8555819882010972,0.6226851851851852,0.6133062109657462,2.5e-05,42.610052917007124
23,0.8120809104293585,0.6617063492063492,0.6599055594170368,1.0653881245741137,0.49537037037037035,0.5018370643856628,2.5e-05,42.86798262500088
24,0.8221558722711745,0.6378968253968254,0.6367555702540223,0.8354041268704114,0.6342592592592593,0.6242477167393851,2.5e-05,42.97431579200202
25,0.7639703790376348,0.6815476190476191,0.6789277510858603,0.8214345962085106,0.6504629629629629,0.6448335085868093,2.5e-05,42.95313566699042
26,0.7811890181213145,0.6671626984126984,0.6656971289497859,0.7358480796769813,0.7037037037037037,0.6999912159337397,2.5e-05,42.96783691601013
27,0.7694733892050054,0.6731150793650794,0.6709282003721245,0.7822889063369345,0.6944444444444444,0.6936118628673187,2.5e-05,43.07432320798398
28,0.7474456069961427,0.6760912698412699,0.6741401359087676,1.035930300752322,0.5162037037037037,0.513473918439639,2.5e-05,42.71595083299326
29,0.7184320117627817,0.6994047619047619,0.6979075033600574,0.7340557428973692,0.6875,0.6867307000828621,2.5e-05,42.98474345798604
30,0.6851948697770399,0.7028769841269841,0.7017421680449152,0.7718445189573147,0.6736111111111112,0.6692374816183079,2.5e-05,42.93161829098244
