epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate,elapsed_seconds
1,1.7889926029103143,0.18055555555555555,0.1687121142822996,1.7784176468849182,0.2037037037037037,0.14470480422097795,0.0001,49.3937382499862
2,1.7763918803797827,0.21676587301587302,0.1862686408586615,1.7966609575130321,0.22685185185185186,0.14791132920569686,0.0001,49.1154415839992
3,1.7735882642723264,0.2123015873015873,0.17523452679716564,1.7740378677845001,0.2222222222222222,0.14143965627222924,0.0001,49.33799625001848
4,1.7664374226615542,0.21875,0.1855698737854505,1.778552735293353,0.19907407407407407,0.14666730855568108,0.0001,49.31058012499125
5,1.7596537442434401,0.24206349206349206,0.206039462091801,1.7786240643925137,0.2361111111111111,0.14836707439409683,0.0001,48.793139209010405
6,1.7290719915477057,0.2564484126984127,0.22351934445145272,1.766398121913274,0.24305555555555555,0.1715763156195604,0.0001,49.59207879099995
7,1.6960508981867441,0.28174603174603174,0.25796411401468494,1.6910254182638946,0.26157407407407407,0.18782361228483788,0.0001,50.15646895801183
8,1.5906528578627677,0.3323412698412698,0.30875379893822624,1.6340205332747213,0.30092592592592593,0.251331292538369,0.0001,49.68787512500421
9,1.5111667283234143,0.36259920634920634,0.34733262702658996,1.4503968876821023,0.34953703703703703,0.3316579650569562,0.0001,51.30992699999479
10,1.4163415193084687,0.39087301587301587,0.378080400392371,1.4086087550278064,0.38425925925925924,0.38782471048508543,0.0001,50.59425900000497
11,1.3815523558665836,0.40228174603174605,0.39721214319357045,1.279148276757311,0.4398148148148148,0.44544919570098757,0.0001,48.876367000018945
12,1.320023305477604,0.4375,0.4336505482899427,1.312799483537674,0.39351851851851855,0.4027634592491505,0.0001,48.80881149999914
13,1.2856198297370047,0.4513888888888889,0.4456972018666854,1.140046185641377,0.4930555555555556,0.47228904233548197,0.0001,49.060330167005304
14,1.260234305901187,0.4548611111111111,0.4506153549362056,1.1623900621025651,0.5231481481481481,0.5218655073872304,0.0001,48.78514408299816
15,1.1791318891540405,0.5143849206349206,0.5102079087417147,1.2619070824649599,0.4097222222222222,0.408302882045968,0.0001,50.07734995899955
16,1.1536174282904654,0.5148809523809523,0.5107607586911903,1.0882501348301217,0.48842592592592593,0.4893212095844157,0.0001,52.285075167019386
17,1.1408078714850403,0.4990079365079365,0.4961341363637826,1.4611633563483204,0.3194444444444444,0.3207568142313966,0.0001,50.16263633398921
18,1.07211229743229,0.535218253968254,0.5326799612210701,1.0091031766324132,0.5879629629629629,0.5739679323614711,0.0001,50.903041582991136
19,1.068040890885251,0.5406746031746031,0.5377615534135046,1.0036710310313437,0.5810185185185185,0.5689514282724805,0.0001,51.426489208010025
20,1.0560829873300261,0.5386904761904762,0.5360994340052259,1.1358123534807452,0.44212962962962965,0.4524585693596583,0.0001,52.04144258299493
21,1.0169021690648699,0.5709325396825397,0.5692395217598856,0.9740052228724515,0.5925925925925926,0.5836351132832048,0.0001,49.61374933400657
22,0.9930540557122893,0.5734126984126984,0.5722870301660581,0.987535808649328,0.5509259259259259,0.5387919990426903,0.0001,51.227247999981046
23,0.9486173031230768,0.6031746031746031,0.6016167882017781,1.064874345091758,0.5069444444444444,0.5130092407931706,0.0001,49.74212766700657
24,0.9650874561556275,0.5902777777777778,0.589110180602879,0.8986606880746506,0.6180555555555556,0.6158077682072085,0.0001,48.85025716701057
25,0.8964066315915377,0.6319444444444444,0.6308968769373838,0.8806207440793514,0.5972222222222222,0.5920481654693525,0.0001,48.94633295800304
26,0.9265877378306219,0.6155753968253969,0.6129421011170214,1.0262776134466682,0.5347222222222222,0.5235904551256044,0.0001,49.035134957986884
27,0.9131359491970331,0.621031746031746,0.6202822006734422,0.8225300650077837,0.6805555555555556,0.6821081518413691,0.0001,48.950142500019865
28,0.9039586214792161,0.6284722222222222,0.6280728854114764,0.9898583969032323,0.5601851851851852,0.5567036137624245,0.0001,48.46113591600442
29,0.8516585176721925,0.6443452380952381,0.6427494486541169,0.8359513991960773,0.6342592592592593,0.634728879716159,0.0001,48.99767912499374
30,0.8389964198457107,0.6512896825396826,0.6503701057981129,0.7615744326677587,0.7037037037037037,0.7012976222850452,0.0001,49.89328658400336
