epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_seconds
1,1.7873449422537335,0.17857142857142858,1.7723860685472135,0.23148148148148148,0.0001,1294.4152054160077
2,1.7722524674165816,0.21081349206349206,1.7805628588906042,0.23148148148148148,0.0001,51.08274574999814
3,1.7625915166877566,0.24156746031746032,1.7873678450231199,0.23148148148148148,0.0001,51.50951783300843
4,1.7435749416786528,0.2490079365079365,1.7869567606184218,0.19675925925925927,0.0001,50.444892958010314
5,1.7247512316893017,0.27827380952380953,1.777261350993757,0.25,0.0001,51.44797020801343
6,1.6342193682988484,0.3189484126984127,1.5112296811960362,0.3287037037037037,0.0001,51.23175904201344
7,1.5051145027317698,0.35267857142857145,1.3897208560396124,0.3449074074074074,0.0001,51.23062462499365
8,1.371182252963384,0.4176587301587302,1.3891116088187252,0.36574074074074076,0.0001,50.72445112498826
9,1.3438499205642276,0.4146825396825397,1.5369077112387728,0.33101851851851855,0.0001,51.340335916989716
10,1.2361131576555116,0.46378968253968256,1.757255427815296,0.18055555555555555,0.0001,51.36403633299051
11,1.1763810964803847,0.4975198412698413,1.1126238502286099,0.48842592592592593,0.0001,50.45323125002324
12,1.1381771728278152,0.5277777777777778,1.1417811813729781,0.47685185185185186,0.0001,50.17244091699831
13,1.0866707783369791,0.5391865079365079,1.0129506753550634,0.5601851851851852,0.0001,50.557982958009234
14,1.04409879049848,0.5466269841269841,0.9864127103377271,0.5185185185185185,0.0001,51.14348637498915
15,0.9741323046267979,0.5753968253968254,1.2153173141457416,0.44907407407407407,0.0001,51.093806333024986
16,0.9359594018508991,0.6011904761904762,1.0749746152648219,0.4652777777777778,0.0001,51.13985804098775
17,0.9450983875209377,0.6016865079365079,1.0474135703234762,0.5162037037037037,0.0001,51.297332457994344
18,0.8472434180153031,0.6329365079365079,1.2438425653510623,0.43287037037037035,0.0001,51.40417699998943
19,0.8462083759229808,0.6483134920634921,0.7804363571383335,0.6712962962962963,0.0001,50.795287749991985
20,0.8368736968508789,0.6448412698412699,2.0409029862946935,0.20601851851851852,0.0001,51.36007837500074
21,0.7782216896968228,0.6741071428571429,0.8072176411471985,0.6712962962962963,0.0001,52.24518050000188
22,0.7616048559014287,0.6884920634920635,0.7929262029076064,0.6643518518518519,0.0001,51.12573045800673
23,0.722432639715927,0.6884920634920635,1.2421176389411643,0.4351851851851852,0.0001,52.039744792011334
24,0.7299910620564506,0.6899801587301587,0.9969209352577174,0.5601851851851852,0.0001,52.14788958299323
