true/predicted,Axel,Flip,Loop,Lutz,Salchow,Toeloop
Axel,59,0,0,13,0,0
Flip,0,40,14,18,0,0
Loop,0,14,49,1,0,8
Lutz,7,6,0,59,0,0
Salchow,0,0,1,0,55,16
Toeloop,0,1,5,0,43,23
