true/predicted,Axel,Flip,Loop,Lutz,Salchow,Toeloop
Axel,6,0,0,0,0,0
Flip,0,4,1,1,0,0
Loop,0,1,4,0,0,1
Lutz,0,0,0,6,0,0
Salchow,0,0,0,0,5,1
Toeloop,0,0,0,0,5,1
